Date,close_without_season
2020-11-12,2.8551784515380945
2020-11-13,-3.4905752563476256
2020-11-16,0.04177749633787184
2020-11-17,-3.43947471618651
2020-11-18,-3.680282897949241
2020-11-19,-2.522774429321288
2020-11-20,3.316918182373044
2020-11-23,-4.573400650024425
2020-11-24,-2.5485737609863293
2020-11-25,6.704399261474604
2020-11-27,-0.23070358276366676
2020-11-30,15.784374618530265
2020-12-01,17.135052490234386
2020-12-02,17.04257911682126
2020-12-03,19.12187469482423
2020-12-04,20.732347183227546
2020-12-07,22.497623214721692
2020-12-08,7.679793319702128
2020-12-09,3.107797164916988
2020-12-10,0.9478207397460778
2020-12-11,2.7665516662597742
2020-12-14,-3.0160475921630923
2020-12-15,6.41047019958495
2020-12-16,8.364670028686547
2020-12-17,11.918398056030256
2020-12-18,7.480899887084959
2020-12-21,2.165567550659162
2020-12-22,7.05437980651854
2020-12-23,5.3064310455322214
2020-12-24,5.29885299682617
2020-12-28,8.935630111694351
2020-12-29,1.4854959869384903
2020-12-30,-4.7917253875732655
2020-12-31,-7.565922012329111
2021-01-04,-8.57716583251954
2021-01-05,-6.893228378295902
2021-01-06,-7.289453048706065
2021-01-07,-4.330831680297862
2021-01-08,-6.85894050598144
2021-01-11,-16.692347793579103
2021-01-12,-13.819794769287114
2021-01-13,0.30202995300294333
2021-01-14,-3.7313736724853452
2021-01-15,1.447527236938484
2021-01-19,-0.8190251922607672
2021-01-20,6.562149505615253
2021-01-21,12.221470260620125
2021-01-22,10.704780044555674
2021-01-25,13.969674301147464
2021-01-26,16.37190475463869
2021-01-27,16.247973327636714
2021-01-28,16.04187362670899
2021-01-29,8.906480941772472
2021-02-01,9.213524322509755
2021-02-02,15.551904525756825
2021-02-03,11.883752975463878
2021-02-04,12.046621551513667
2021-02-05,7.607867279052726
2021-02-08,9.660055389404306
2021-02-09,6.981767883300762
2021-02-10,6.50114528656006
2021-02-11,10.145936393737784
2021-02-12,7.537069549560556
2021-02-16,9.489497642517094
2021-02-17,4.977592468261747
2021-02-18,4.315980911254897
2021-02-19,2.812069587707512
2021-02-22,-6.966253852844233
2021-02-23,-5.347873344421373
2021-02-24,-5.7485773468017385
2021-02-25,-11.593499374389651
2021-02-26,-11.119994239807113
2021-03-01,3.3896984481811505
2021-03-02,-0.681547012329105
2021-03-03,-3.2427284240722685
2021-03-04,-5.451650085449231
2021-03-05,-2.495352554321272
2021-03-08,-6.87093093872069
2021-03-09,-2.358503112792988
2021-03-10,0.5063569641113189
2021-03-11,-2.6960510253906165
2021-03-12,5.3258480834960835
2021-03-15,7.8758763885498
2021-03-16,11.200495300292985
2021-03-17,4.325704803466792
2021-03-18,-4.201747512817377
2021-03-19,-3.667601547241219
2021-03-22,2.6932776641845777
2021-03-23,0.42284751892090355
2021-03-24,-4.565427703857409
